,layer,position,iia
0,0,0,0.0
1,0,1,0.02
2,0,2,0.06
3,0,3,0.06
4,0,4,0.04
5,0,5,0.06
6,0,6,0.04
7,0,7,0.06
8,0,8,0.02
9,0,9,0.02
10,0,10,0.06
11,0,11,0.04
12,0,12,0.0
13,0,13,0.02
14,0,14,0.06
15,0,15,0.08
16,0,16,0.04
17,0,17,0.12
18,0,18,0.02
19,0,19,0.08
20,0,20,0.06
21,0,21,0.06
22,0,22,0.08
23,0,23,0.0
24,0,24,0.02
25,0,25,0.02
26,0,26,0.02
27,0,27,0.02
28,0,28,0.0
29,0,29,0.02
30,0,30,0.02
31,0,31,0.02
32,0,32,0.04
33,0,33,0.02
34,0,34,0.0
35,0,35,0.04
36,0,36,0.08
37,0,37,0.0
38,0,38,0.12
39,0,39,0.02
40,0,40,0.0
41,0,41,0.06
42,0,42,0.06
43,0,43,0.06
44,0,44,0.0
45,0,45,0.02
46,0,46,0.02
47,0,47,0.0
48,0,48,0.18
49,1,0,0.04
50,1,1,0.08
51,1,2,0.04
52,1,3,0.04
53,1,4,0.04
54,1,5,0.0
55,1,6,0.0
56,1,7,0.0
57,1,8,0.02
58,1,9,0.0
59,1,10,0.06
60,1,11,0.0
61,1,12,0.06
62,1,13,0.0
63,1,14,0.02
64,1,15,0.02
65,1,16,0.0
66,1,17,0.0
67,1,18,0.08
68,1,19,0.04
69,1,20,0.02
70,1,21,0.06
71,1,22,0.08
72,1,23,0.0
73,1,24,0.02
74,1,25,0.0
75,1,26,0.02
76,1,27,0.04
77,1,28,0.02
78,1,29,0.0
79,1,30,0.06
80,1,31,0.02
81,1,32,0.02
82,1,33,0.02
83,1,34,0.04
84,1,35,0.04
85,1,36,0.0
86,1,37,0.02
87,1,38,0.12
88,1,39,0.12
89,1,40,0.04
90,1,41,0.06
91,1,42,0.06
92,1,43,0.06
93,1,44,0.1
94,1,45,0.06
95,1,46,0.06
96,1,47,0.0
97,1,48,0.12
98,2,0,0.1
99,2,1,0.22
100,2,2,0.02
101,2,3,0.18
102,2,4,0.02
103,2,5,0.04
104,2,6,0.02
105,2,7,0.04
106,2,8,0.0
107,2,9,0.0
108,2,10,0.08
109,2,11,0.06
110,2,12,0.1
111,2,13,0.06
112,2,14,0.0
113,2,15,0.08
114,2,16,0.06
115,2,17,0.06
116,2,18,0.04
117,2,19,0.14
118,2,20,0.02
119,2,21,0.08
120,2,22,0.06
121,2,23,0.06
122,2,24,0.0
123,2,25,0.06
124,2,26,0.04
125,2,27,0.0
126,2,28,0.06
127,2,29,0.02
128,2,30,0.02
129,2,31,0.0
130,2,32,0.04
131,2,33,0.02
132,2,34,0.1
133,2,35,0.0
134,2,36,0.02
135,2,37,0.0
136,2,38,0.0
137,2,39,0.1
138,2,40,0.02
139,2,41,0.04
140,2,42,0.08
141,2,43,0.08
142,2,44,0.12
143,2,45,0.0
144,2,46,0.0
145,2,47,0.02
146,2,48,0.24
147,3,0,0.04
148,3,1,0.08
149,3,2,0.04
150,3,3,0.0
151,3,4,0.06
152,3,5,0.02
153,3,6,0.04
154,3,7,0.02
155,3,8,0.0
156,3,9,0.0
157,3,10,0.06
158,3,11,0.0
159,3,12,0.04
160,3,13,0.08
161,3,14,0.1
162,3,15,0.08
163,3,16,0.08
164,3,17,0.0
165,3,18,0.0
166,3,19,0.02
167,3,20,0.1
168,3,21,0.04
169,3,22,0.0
170,3,23,0.0
171,3,24,0.08
172,3,25,0.0
173,3,26,0.02
174,3,27,0.02
175,3,28,0.0
176,3,29,0.1
177,3,30,0.12
178,3,31,0.06
179,3,32,0.0
180,3,33,0.04
181,3,34,0.04
182,3,35,0.02
183,3,36,0.08
184,3,37,0.04
185,3,38,0.06
186,3,39,0.18
187,3,40,0.14
188,3,41,0.02
189,3,42,0.0
190,3,43,0.04
191,3,44,0.06
192,3,45,0.04
193,3,46,0.02
194,3,47,0.02
195,3,48,0.42
196,4,0,0.02
197,4,1,0.08
198,4,2,0.0
199,4,3,0.08
200,4,4,0.04
201,4,5,0.0
202,4,6,0.0
203,4,7,0.0
204,4,8,0.04
205,4,9,0.02
206,4,10,0.04
207,4,11,0.0
208,4,12,0.0
209,4,13,0.0
210,4,14,0.08
211,4,15,0.0
212,4,16,0.0
213,4,17,0.0
214,4,18,0.0
215,4,19,0.0
216,4,20,0.1
217,4,21,0.0
218,4,22,0.02
219,4,23,0.0
220,4,24,0.0
221,4,25,0.0
222,4,26,0.02
223,4,27,0.04
224,4,28,0.0
225,4,29,0.02
226,4,30,0.0
227,4,31,0.02
228,4,32,0.0
229,4,33,0.0
230,4,34,0.04
231,4,35,0.02
232,4,36,0.0
233,4,37,0.0
234,4,38,0.0
235,4,39,0.04
236,4,40,0.04
237,4,41,0.0
238,4,42,0.02
239,4,43,0.02
240,4,44,0.0
241,4,45,0.0
242,4,46,0.04
243,4,47,0.0
