,layer,pos,prob
0,0,0,1.344648717349628e-05
1,0,1,1.3037738426646683e-05
2,0,2,2.078192301269155e-05
3,0,3,2.455041067150887e-05
4,0,4,1.1134520718769636e-05
5,1,0,1.5268040442606434e-05
6,1,1,1.0803360055433586e-05
7,1,2,3.8150094042066485e-05
8,1,3,1.680597779341042e-05
9,1,4,7.578718395961914e-06
10,2,0,1.6415491700172424e-05
11,2,1,8.40278880787082e-06
12,2,2,4.411496774991974e-05
13,2,3,4.050714323966531e-06
14,2,4,7.980863301781937e-06
15,3,0,1.6698390027158894e-05
16,3,1,6.3007682911120355e-06
17,3,2,6.876971747260541e-05
18,3,3,2.0833613234572113e-06
19,3,4,9.142312592302915e-06
20,4,0,1.6747757399571128e-05
21,4,1,6.533013674925314e-06
22,4,2,5.831924863741733e-05
23,4,3,1.804813905437186e-06
24,4,4,8.93414926395053e-06
25,5,0,1.6741721992730163e-05
26,5,1,7.145009021769511e-06
27,5,2,4.9503621994517744e-05
28,5,3,1.3990887737236335e-06
29,5,4,9.956816938938573e-06
30,6,0,1.2740903002850246e-05
31,6,1,7.409083082166035e-06
32,6,2,3.461568849161267e-05
33,6,3,1.250051013812481e-06
34,6,4,1.0099208338942844e-05
35,7,0,2.7731828595278785e-05
36,7,1,3.715368620760273e-06
37,7,2,2.1387777451309375e-05
38,7,3,3.991118319390807e-06
39,7,4,1.0193045454798266e-05
40,8,0,2.1178137103561312e-05
41,8,1,1.0488071893632878e-05
42,8,2,5.111287464387715e-06
43,8,3,4.071422608831199e-06
44,8,4,1.123960373661248e-05
45,9,0,6.0875768213009e-06
46,9,1,9.85895712801721e-06
47,9,2,1.7911021132022142e-05
48,9,3,2.802734343276825e-06
49,9,4,1.3841875443176832e-05
50,10,0,9.206529284710996e-06
51,10,1,1.8196338714915328e-05
52,10,2,2.2779391656513326e-05
53,10,3,2.3336929189099465e-06
54,10,4,1.4878280126140453e-05
55,11,0,9.76225874183001e-06
56,11,1,1.88264821190387e-05
57,11,2,2.2315492969937623e-05
58,11,3,1.921901684909244e-06
59,11,4,7.750841177767143e-05
60,12,0,9.600534212950151e-06
61,12,1,1.300194526265841e-05
62,12,2,2.4257647964986973e-05
63,12,3,1.981494733627187e-06
64,12,4,0.00017050666792783886
65,13,0,9.812459211389069e-06
66,13,1,1.4295738765213173e-05
67,13,2,2.1868305339012295e-05
68,13,3,7.442077276209602e-06
69,13,4,0.0006792127969674766
70,14,0,9.814360055315774e-06
71,14,1,1.3557582860812545e-05
72,14,2,1.2608126780833118e-05
73,14,3,3.464880501269363e-05
74,14,4,0.004381562117487192
75,15,0,9.79459218797274e-06
76,15,1,1.1818640814453829e-05
77,15,2,1.3771847079624422e-05
78,15,3,7.791005191393197e-05
79,15,4,0.005711719859391451
80,16,0,9.792086530069355e-06
81,16,1,1.1133666703244671e-05
82,16,2,1.1198741958651226e-05
83,16,3,0.00010639611718943343
84,16,4,0.014233678579330444
85,17,0,9.760540706338361e-06
86,17,1,1.133263413066743e-05
87,17,2,1.548484397062566e-05
88,17,3,8.158436685334891e-05
89,17,4,0.016050003468990326
90,18,0,9.748395314090885e-06
91,18,1,1.291140233661281e-05
92,18,2,1.603112104930915e-05
93,18,3,6.752380431862548e-05
94,18,4,0.00879859272390604
95,19,0,9.758326086739544e-06
96,19,1,1.2999152204429265e-05
97,19,2,1.383219932904467e-05
98,19,3,3.019560972461477e-05
99,19,4,0.012169322930276394
100,20,0,9.764147762325592e-06
101,20,1,1.333725140284514e-05
102,20,2,1.2649712516576983e-05
103,20,3,3.3230637200176716e-05
104,20,4,0.004199112765491009
105,21,0,9.771398254088126e-06
106,21,1,1.36198368636542e-05
107,21,2,1.1187069503648672e-05
108,21,3,2.222938564955257e-05
109,21,4,0.0007066031103022397
110,22,0,9.768610652827192e-06
111,22,1,1.2925251212436706e-05
112,22,2,9.95323443930829e-06
113,22,3,1.9534016246325336e-05
114,22,4,0.0005067074671387672
115,23,0,9.768131349119358e-06
116,23,1,1.2515298294601962e-05
117,23,2,8.81998857948929e-06
118,23,3,1.749991497490555e-05
119,23,4,0.00028033723356202245
120,24,0,9.76614228420658e-06
121,24,1,1.2133777090639342e-05
122,24,2,8.829805665300228e-06
123,24,3,1.8426351743983105e-05
124,24,4,0.00012410870112944394
125,25,0,9.767924893822055e-06
126,25,1,1.1800349966506474e-05
127,25,2,8.348728442797437e-06
128,25,3,1.6749028873164207e-05
129,25,4,0.00013354734983295202
130,26,0,9.754624443303328e-06
131,26,1,1.0866964657907374e-05
132,26,2,7.769051990180742e-06
133,26,3,2.103698716382496e-05
134,26,4,0.00011233105760766193
135,27,0,9.759896784089506e-06
136,27,1,1.039755625242833e-05
137,27,2,7.840000762371346e-06
138,27,3,2.852976103895344e-05
139,27,4,0.00028757579275406897
140,28,0,9.755171049619094e-06
141,28,1,1.0042990652436856e-05
142,28,2,7.943431228341069e-06
143,28,3,3.0356033676071092e-05
144,28,4,0.00040006660856306553
145,29,0,9.749302989803255e-06
146,29,1,1.0211257176706567e-05
147,29,2,8.026781870285049e-06
148,29,3,3.1048704840941355e-05
149,29,4,0.00046766517334617674
150,30,0,9.75063449004665e-06
151,30,1,1.0515803296584636e-05
152,30,2,8.13981478131609e-06
153,30,3,2.3764741854392923e-05
154,30,4,0.000895790581125766
155,31,0,9.746714567882009e-06
156,31,1,1.0021197340392973e-05
157,31,2,8.045361937547568e-06
158,31,3,2.4809671231196262e-05
159,31,4,0.0012817614478990436
160,32,0,9.752721780387219e-06
161,32,1,9.987084922613576e-06
162,32,2,8.35577793623088e-06
163,32,3,2.0227111235726625e-05
164,32,4,0.0017314385622739792
165,33,0,9.753341146279126e-06
166,33,1,9.942040378518868e-06
167,33,2,8.357924343727063e-06
168,33,3,1.7804808521759696e-05
169,33,4,0.002056974684819579
170,34,0,9.751486686582211e-06
171,34,1,1.0013402061304078e-05
172,34,2,8.357567821803968e-06
173,34,3,1.6749841961427592e-05
174,34,4,0.0013324239989742637
175,35,0,9.744005183165427e-06
176,35,1,9.995428627007641e-06
177,35,2,8.814021384750959e-06
178,35,3,1.8353122868575156e-05
179,35,4,0.0007674684165976942
180,36,0,9.738663720781915e-06
181,36,1,1.0119790204043966e-05
182,36,2,8.944052751758136e-06
183,36,3,1.5068844732013531e-05
184,36,4,0.0005546926986426115
185,37,0,9.739947927300818e-06
186,37,1,1.0132597708434332e-05
187,37,2,8.919750143832061e-06
188,37,3,1.1639076546998695e-05
189,37,4,0.0002804607502184808
190,38,0,9.751211109687574e-06
191,38,1,1.0135969205293804e-05
192,38,2,9.386305464431643e-06
193,38,3,1.2036032785545103e-05
194,38,4,0.0001853230205597356
195,39,0,9.753053745953366e-06
196,39,1,1.00908237072872e-05
197,39,2,9.194222002406605e-06
198,39,3,1.122877438319847e-05
199,39,4,0.00013057069736532867
200,40,0,9.745793249749113e-06
201,40,1,9.862847036856692e-06
202,40,2,9.369446161144879e-06
203,40,3,1.1320083103782963e-05
204,40,4,5.801172665087506e-05
205,41,0,9.7416823336971e-06
206,41,1,9.879237950372044e-06
207,41,2,9.747871445142664e-06
208,41,3,1.0753928108897526e-05
209,41,4,2.453894558129832e-05
210,42,0,9.743268492456991e-06
211,42,1,9.827369467529934e-06
212,42,2,9.721586138766725e-06
213,42,3,1.119577336794464e-05
