,layer,pos,prob
0,0,0,2.3159409465733916e-06
1,0,1,2.976000905619003e-05
2,0,2,3.497821671771817e-05
3,0,3,6.758829113095999e-05
4,0,4,9.624891390558332e-06
5,1,0,1.1898825505340938e-05
6,1,1,3.279188968008384e-05
7,1,2,2.4472330551361665e-05
8,1,3,6.729646702297032e-05
9,1,4,1.0528238817641977e-05
10,2,0,1.910035098262597e-05
11,2,1,2.593331919342745e-05
12,2,2,2.7358741135685705e-05
13,2,3,7.975587504915893e-05
14,2,4,1.1310497029626276e-05
15,3,0,1.1467574040580075e-05
16,3,1,4.8989611968863755e-05
17,3,2,2.2333884771796875e-05
18,3,3,9.045936894835904e-05
19,3,4,1.0661645319487434e-05
20,4,0,9.417979526915587e-06
21,4,1,4.145115599385463e-05
22,4,2,2.9663175155292265e-05
23,4,3,8.37553379824385e-05
24,4,4,1.1134520718769636e-05
25,5,0,1.608794082130771e-05
26,5,1,4.274116872693412e-05
27,5,2,6.787756865378469e-05
28,5,3,8.080618863459677e-05
29,5,4,7.578718395961914e-06
30,6,0,1.1823903150798287e-05
31,6,1,4.953842289978638e-05
32,6,2,6.847771146567538e-05
33,6,3,6.910038064233959e-05
34,6,4,7.980863301781937e-06
35,7,0,9.822419997362886e-06
36,7,1,4.700991848949343e-05
37,7,2,0.0002911313495133072
38,7,3,5.198544022277929e-05
39,7,4,9.142312592302915e-06
40,8,0,9.758612577570602e-06
41,8,1,4.5870652684243396e-05
42,8,2,0.00047433984582312405
43,8,3,5.033644265495241e-05
44,8,4,8.93414926395053e-06
45,9,0,9.743836017150898e-06
46,9,1,4.062052903464064e-05
47,9,2,2.88367155008018e-05
48,9,3,5.003946353099309e-05
49,9,4,9.956816938938573e-06
50,10,0,9.227837836078834e-06
51,10,1,3.494715929264203e-05
52,10,2,1.8304512195754796e-05
53,10,3,5.1432609325274825e-05
54,10,4,9.568719178787433e-06
55,11,0,9.056210728886072e-06
56,11,1,2.6579844416119158e-05
57,11,2,1.908265403471887e-05
58,11,3,5.924932338530198e-05
59,11,4,1.0180368917644955e-05
60,12,0,9.549674359732307e-06
61,12,1,2.4724802642595023e-05
62,12,2,2.3680831873207353e-05
63,12,3,6.135887815617025e-05
64,12,4,1.040722054312937e-05
65,13,0,9.769518328539561e-06
66,13,1,3.0667291866848245e-05
67,13,2,1.845773476816248e-05
68,13,3,7.325290061999112e-05
69,13,4,1.2802996934624389e-05
70,14,0,9.897100426314864e-06
71,14,1,2.8333664886304177e-05
72,14,2,5.705207058781525e-06
73,14,3,0.00011629218352027237
74,14,4,1.4099219697527587e-05
75,15,0,9.794504876481369e-06
76,15,1,2.0553598005790263e-05
77,15,2,1.0920200111286249e-05
78,15,3,0.00010752712114481255
79,15,4,3.952797123929486e-05
80,16,0,1.0023910363088362e-05
81,16,1,1.9086144675384276e-05
82,16,2,1.284198515349999e-05
83,16,3,0.00010670366464182734
84,16,4,5.237059303908609e-05
85,17,0,1.0129452675755601e-05
86,17,1,1.843254176492337e-05
87,17,2,1.4692715922137722e-05
88,17,3,8.991926733870059e-05
89,17,4,0.00018686152179725468
90,18,0,9.957464499166235e-06
91,18,1,1.8578870367491618e-05
92,18,2,1.4510652363242116e-05
93,18,3,8.295105362776667e-05
94,18,4,0.0018592423293739557
95,19,0,9.8926557257073e-06
96,19,1,1.81179912033258e-05
97,19,2,1.5221086869132705e-05
98,19,3,8.778366463957354e-05
99,19,4,0.0026634931564331055
100,20,0,9.79336164164124e-06
101,20,1,1.6174688425962813e-05
102,20,2,1.5056472875585314e-05
103,20,3,0.00010424886568216607
104,20,4,0.008636956103146076
105,21,0,9.760143257153686e-06
106,21,1,1.4380263564817142e-05
107,21,2,1.7117661627708003e-05
108,21,3,0.00010879516776185483
109,21,4,0.013949594460427761
110,22,0,9.887035957945045e-06
111,22,1,1.499389145465102e-05
112,22,2,1.8801580154104158e-05
113,22,3,8.505095320288092e-05
114,22,4,0.017447134479880333
115,23,0,9.948050319508184e-06
116,23,1,1.3974197827337775e-05
117,23,2,1.7953636415768415e-05
118,23,3,8.813787280814722e-05
119,23,4,0.02733842469751835
120,24,0,9.869645509752445e-06
121,24,1,1.4082860616326798e-05
122,24,2,1.5413315850310028e-05
123,24,3,9.382677671965212e-05
124,24,4,0.026962606236338615
125,25,0,9.780364962352905e-06
126,25,1,1.4783284314034972e-05
127,25,2,1.5782645277795382e-05
128,25,3,8.596839325036854e-05
129,25,4,0.029885761439800262
130,26,0,9.825747838476673e-06
131,26,1,1.3378544281295035e-05
132,26,2,1.7227079297299497e-05
133,26,3,7.802469917805865e-05
134,26,4,0.038180992007255554
135,27,0,9.833036529016681e-06
136,27,1,1.2232941116963048e-05
137,27,2,1.6788737411843613e-05
138,27,3,7.391691906377673e-05
139,27,4,0.04578053578734398
140,28,0,9.832699106482323e-06
141,28,1,1.1686426660162397e-05
142,28,2,1.622017407498788e-05
143,28,3,5.791947478428483e-05
144,28,4,0.07399816811084747
145,29,0,9.752105142979417e-06
146,29,1,1.159560360974865e-05
147,29,2,1.6944872186286375e-05
148,29,3,5.772562508354895e-05
149,29,4,0.11212852597236633
150,30,0,9.714832231111359e-06
151,30,1,1.1119822374894284e-05
152,30,2,1.5765106581966393e-05
153,30,3,4.396126314532012e-05
154,30,4,0.18811458349227905
155,31,0,9.718112778500654e-06
156,31,1,1.047590012603905e-05
157,31,2,1.4853207176201977e-05
158,31,3,3.682322130771354e-05
159,31,4,0.33528339862823486
160,32,0,9.782289453141857e-06
161,32,1,1.0551833838690072e-05
162,32,2,1.4999889572209213e-05
163,32,3,3.6041925341123715e-05
164,32,4,0.3394560217857361
165,33,0,9.81672837951919e-06
166,33,1,1.0232467502646614e-05
167,33,2,1.4181008737068623e-05
168,33,3,3.57942444679793e-05
169,33,4,0.38736143708229065
170,34,0,9.814160875976086e-06
171,34,1,9.310214409197215e-06
172,34,2,1.4323945833893958e-05
173,34,3,3.498909427435137e-05
174,34,4,0.4996185898780823
175,35,0,9.815880730457138e-06
176,35,1,9.733247679832857e-06
177,35,2,1.4160645150695927e-05
178,35,3,3.494461998343468e-05
179,35,4,0.5595533847808838
