,layer,pos,prob
0,0,0,4.265254119673045e-06
1,0,1,4.8667843657312915e-05
2,0,2,3.070416278205812e-05
3,0,3,6.362889689626172e-05
4,0,4,9.719526133267209e-06
5,1,0,4.160759544902248e-06
6,1,1,4.596470171236433e-05
7,1,2,3.197089608875103e-05
8,1,3,6.388456677086651e-05
9,1,4,8.756712304602843e-06
10,2,0,4.183315923000919e-06
11,2,1,4.704528328147717e-05
12,2,2,3.211466537322849e-05
13,2,3,6.080977982492186e-05
14,2,4,8.506147423759103e-06
15,3,0,4.120252015127335e-06
16,3,1,4.788212390849367e-05
17,3,2,3.243302853661589e-05
18,3,3,5.5961347243282944e-05
19,3,4,7.993958206498064e-06
20,4,0,4.110098416276742e-06
21,4,1,4.5524480810854584e-05
22,4,2,3.323932469356805e-05
23,4,3,5.8217094192514196e-05
24,4,4,7.323397767322604e-06
25,5,0,4.115506271773484e-06
26,5,1,4.0749589970801026e-05
27,5,2,2.8987737096031196e-05
28,5,3,7.652229396626353e-05
29,5,4,8.76675494509982e-06
30,6,0,3.21711522701662e-05
31,6,1,1.978689215320628e-05
32,6,2,2.959724770335015e-05
33,6,3,4.6214499889174476e-05
34,6,4,6.982887043704977e-06
35,7,0,1.8490894944989122e-05
36,7,1,2.732287066464778e-05
37,7,2,2.984107777592726e-05
38,7,3,4.563809488900006e-05
39,7,4,1.0570784979790915e-05
40,8,0,2.4832295821397565e-05
41,8,1,4.9999238399323076e-05
42,8,2,3.113593265879899e-05
43,8,3,7.771304808557034e-06
44,8,4,1.3177935215935577e-05
45,9,0,1.545902887301054e-05
46,9,1,3.371918137418106e-05
47,9,2,5.747727118432522e-05
48,9,3,6.784902325307485e-06
49,9,4,8.62709384819027e-06
50,10,0,1.2258479728188831e-05
51,10,1,5.819604484713636e-05
52,10,2,6.995699368417263e-05
53,10,3,1.759470978868194e-05
54,10,4,1.7841377484728582e-05
55,11,0,9.511044481769204e-06
56,11,1,3.0597304430557415e-05
57,11,2,3.181173451594077e-05
58,11,3,1.0621716683090199e-05
59,11,4,1.7151791325886734e-05
60,12,0,7.2432235356245656e-06
61,12,1,2.478795977367554e-05
62,12,2,8.962324500316754e-06
63,12,3,1.80897768586874e-05
64,12,4,1.962118585652206e-05
65,13,0,9.276367563870735e-06
66,13,1,2.0053290427313186e-05
67,13,2,1.1882538274221588e-05
68,13,3,2.6322459234506823e-05
69,13,4,2.49626646109391e-05
70,14,0,9.709260666568298e-06
71,14,1,2.0252238755347207e-05
72,14,2,1.999919732043054e-05
73,14,3,3.6249737604521215e-05
74,14,4,3.2420542993349954e-05
75,15,0,9.606712410459295e-06
76,15,1,2.1546522475546226e-05
77,15,2,3.583849684218876e-05
78,15,3,4.074058961123228e-05
79,15,4,3.3322256058454514e-05
80,16,0,9.597159078111872e-06
81,16,1,1.7255424609174952e-05
82,16,2,7.906408427515998e-06
83,16,3,4.33377135777846e-05
84,16,4,5.31158693775069e-05
85,17,0,9.623568075767253e-06
86,17,1,1.7796870452002622e-05
87,17,2,8.1604930528556e-06
88,17,3,7.521521911257878e-05
89,17,4,4.6210148866521195e-05
90,18,0,9.591729394742288e-06
91,18,1,1.8450406059855595e-05
92,18,2,5.1887477638956625e-06
93,18,3,3.8073249015724286e-05
94,18,4,6.029599899193272e-05
95,19,0,9.591095476935152e-06
96,19,1,1.5074376278789714e-05
97,19,2,1.4255162568588275e-05
98,19,3,8.905074355425313e-05
99,19,4,4.629413888324052e-05
100,20,0,9.610173037799541e-06
101,20,1,1.420775424776366e-05
102,20,2,1.1928517778869718e-05
103,20,3,0.00013540433428715914
104,20,4,6.895269325468689e-05
105,21,0,9.633022273192182e-06
106,21,1,1.3173429579182994e-05
107,21,2,9.793644494493492e-06
108,21,3,4.2996009142370895e-05
109,21,4,7.777375867590308e-05
110,22,0,9.687688361736946e-06
111,22,1,1.042034818965476e-05
112,22,2,1.714848076517228e-05
113,22,3,6.622901855735108e-05
114,22,4,0.000176253670360893
115,23,0,9.704553121991921e-06
116,23,1,8.184129001165275e-06
117,23,2,9.762638910615351e-06
